#tax_id	GeneID	GO_ID	Evidence	Qualifier	GO_term	PubMed	Category
8839	101789378	GO:0005506	IEA	enables	iron ion binding	22301074	Function
8839	101789378	GO:0005737	IEA	located_in	cytoplasm	30032202	Component
8839	101789378	GO:0006449	IEA	involved_in	regulation of translational termination	30032202	Process
8839	101789378	GO:0019511	IEA	involved_in	peptidyl-proline hydroxylation	30032202	Process
8839	101789378	GO:0031418	IEA	enables	L-ascorbic acid binding	22301074	Function
8839	101789378	GO:0031543	IEA	enables	peptidyl-proline dioxygenase activity	30032202	Function
8839	101789381	GO:0004181	IEA	enables	metallocarboxypeptidase activity	22301074|30032202	Function
8839	101789381	GO:0006508	IEA	involved_in	proteolysis	22301074|30032202	Process
8839	101789381	GO:0008270	IEA	enables	zinc ion binding	22301074	Function
8839	101789382	GO:0005737	IEA	located_in	cytoplasm	30032202	Component
8839	101789382	GO:0008544	IEA	involved_in	epidermis development	30032202	Process
8839	101789383	GO:0005739	IEA	located_in	mitochondrion	30032202	Component
8839	101789383	GO:0016226	IEA	involved_in	iron-sulfur cluster assembly	22301074|30032202	Process
8839	101789383	GO:1990221	IEA	part_of	L-cysteine desulfurase complex	30032202	Component
8839	101789384	GO:0005634	IEA	located_in	nucleus	30032202	Component
8839	101789384	GO:0006974	IEA	involved_in	DNA damage response	30032202	Process
8839	101789384	GO:0035861	IEA	located_in	site of double-strand break	30032202	Component
8839	101789384	GO:1990166	IEA	involved_in	protein localization to site of double-strand break	30032202	Process
8839	101789384	GO:2000781	IEA	involved_in	positive regulation of double-strand break repair	30032202	Process
8839	101789385	GO:0000164	IEA	part_of	protein phosphatase type 1 complex	30032202	Component
8839	101789385	GO:0005979	IEA	involved_in	regulation of glycogen biosynthetic process	30032202	Process
8839	101789385	GO:0008157	IEA	enables	protein phosphatase 1 binding	30032202	Function
8839	101789385	GO:2001069	IEA	enables	glycogen binding	30032202	Function
8839	101789386	GO:0005634	IEA	located_in	nucleus	30032202	Component
8839	101789386	GO:0006357	IEA	involved_in	regulation of transcription by RNA polymerase II	30032202	Process
8839	101789386	GO:0031490	IEA	enables	chromatin DNA binding	30032202	Function
8839	101789387	GO:0004190	IEA	enables	aspartic-type endopeptidase activity	22301074|30032202	Function
8839	101789387	GO:0005768	IEA	located_in	endosome	30032202	Component
