"","Run","organ","treatment","dpi","biological_replicate","study","group"
"1","SRR16103954","lung","control","1",1,"campbell","control_1"
"2","SRR16103953","lung","control","1",2,"campbell","control_1"
"3","SRR16103952","lung","control","1",3,"campbell","control_1"
"4","SRR16103950","lung","control","2",2,"campbell","control_2"
"5","SRR16103949","lung","control","3",1,"campbell","control_3"
"6","SRR16103948","lung","control","3",2,"campbell","control_3"
"7","SRR16103947","lung","control","3",3,"campbell","control_3"
"8","SRR16103966","lung","HP","1",1,"campbell","HP_1"
"9","SRR16103965","lung","HP","1",2,"campbell","HP_1"
"10","SRR16103964","lung","HP","1",3,"campbell","HP_1"
"11","SRR16103967","lung","HP","1",4,"campbell","HP_1"
"12","SRR16103963","lung","HP","2",1,"campbell","HP_2"
"13","SRR16103961","lung","HP","2",2,"campbell","HP_2"
"14","SRR16103960","lung","HP","2",3,"campbell","HP_2"
"15","SRR16103958","lung","HP","2",4,"campbell","HP_2"
"16","SRR16103957","lung","HP","3",1,"campbell","HP_3"
"17","SRR16103956","lung","HP","3",2,"campbell","HP_3"
"18","SRR16103959","lung","HP","3",3,"campbell","HP_3"
"19","SRR16103955","lung","HP","3",4,"campbell","HP_3"
"20","SRR797836","lung","HP","1",1,"huang","HP_1"
"21","SRR797837","lung","HP","2",1,"huang","HP_2"
"22","SRR797838","lung","HP","3",1,"huang","HP_3"
"23","SRR797835","lung","control","3",1,"huang","control_3"
"24","ERR597452","lung","HP","3",1,"smith","HP_3"
"25","ERR597458","lung","HP","3",3,"smith","HP_3"
"26","ERR597441","lung","control","3",1,"smith","control_3"
"27","ERR597430","lung","control","1",1,"smith","control_1"
"28","ERR597429","lung","HP","3",2,"smith","HP_3"
"29","ERR597464","lung","control","3",3,"smith","control_3"
"30","ERR597439","lung","HP","1",1,"smith","HP_1"
"31","ERR597448","lung","control","3",2,"smith","control_3"
"32","ERR597438","lung","HP","1",2,"smith","HP_1"
"33","ERR597453","lung","control","1",2,"smith","control_1"
"34","ERR597449","lung","HP","1",3,"smith","HP_1"
"35","ERR597440","lung","control","1",3,"smith","control_1"
"36","ERR5044627","lung","HP_2.2","0.5",1,"morris","HP_2.2_0.5"
"37","ERR5044628","lung","HP_2.2","0.5",1,"morris","HP_2.2_0.5"
"38","ERR5044629","lung","HP_2.2","0.5",1,"morris","HP_2.2_0.5"
"39","ERR5044630","lung","HP_2.2","0.5",1,"morris","HP_2.2_0.5"
"40","ERR5044631","lung","HP_2.2","0.5",1,"morris","HP_2.2_0.5"
"41","ERR5044632","lung","HP_2.2","0.5",1,"morris","HP_2.2_0.5"
"42","ERR5044633","lung","HP_2.2","0.5",2,"morris","HP_2.2_0.5"
"43","ERR5044634","lung","HP_2.2","0.5",2,"morris","HP_2.2_0.5"
